key,position,pi,pi_low,pi_up,xsi,xsi_low,xsi_up,pi2,pi2_low,pi2_up,fwh,fwh_low,fwh_up,thw,thw_low,thw_up,TD,TD_low,TD_up,sites
d.58001-59001,58001,0.00797874693047,0.00774371984406,0.00819096257566,0.74481573872,0.738788041826,0.750744141151,0.292882620623,0.285686130961,0.3033349811,0.00787621848929,0.0076049612304,0.00820659373193,0.00798170531969,0.00779279545752,0.00811304993391,0.0616323015318,0.021977404867,0.116024623563,1235190
d.37001-38001,37001,0.00776463378561,0.00762344085929,0.00790492305959,0.750922358349,0.746001175693,0.756382337752,0.290325105358,0.282943427338,0.297391459614,0.00784382826556,0.00758509712172,0.00800177938136,0.00785868558855,0.00777200879011,0.00793765201425,0.0122178372927,-0.0261026565188,0.0459695304571,1914009
u.25001-26001,-26001,0.00767081813204,0.0075560416641,0.00780772916245,0.754763833314,0.750476333215,0.758421306693,0.292128337801,0.286091709703,0.297295462332,0.00781376053965,0.00756605662239,0.00799534039911,0.00783130444793,0.00774022394955,0.0079148540287,-0.0241076511776,-0.050161007604,0.00883596846305,2624907
d.43001-44001,43001,0.00772078220566,0.00756955449036,0.00794910815056,0.750440490882,0.745718840773,0.755493169363,0.294950076797,0.288620208487,0.302940404886,0.00783811266942,0.00769469752424,0.00806979656179,0.00780467863424,0.00769307960171,0.00794431851351,0.0174092080379,-0.0189930891882,0.0767219524885,1642594
u.61001-62001,-62001,0.00769731477733,0.0075417888906,0.00785481718459,0.748884076242,0.744497195774,0.755651823494,0.28124743467,0.273646421025,0.289908698683,0.00752477725678,0.00733046238023,0.00776716983076,0.00781341043894,0.00769878081576,0.00795004531723,-9.91527016693e-05,-0.0473850011427,0.0420669282471,1199434
u.26001-27001,-27001,0.0078025712427,0.00767005060378,0.00792441728354,0.75152168763,0.747005919854,0.755648159914,0.292835385644,0.287189082697,0.29899463343,0.0078618411036,0.00772175215409,0.00803991785611,0.00791305846162,0.00782103055672,0.00801234622974,0.00371818395987,-0.0235777124846,0.0378163153846,2561522
d.28001-29001,28001,0.00772185296789,0.00759624386589,0.00785803047543,0.751300971329,0.747529203745,0.756184683615,0.29416608851,0.287891024575,0.299150048531,0.00780486012245,0.00750204925779,0.00799026762018,0.00780602315505,0.00771275341273,0.00791668362546,0.0172679392532,-0.00983693206833,0.0444418523271,2427565
u.52001-53001,-53001,0.00769969868114,0.00756826763699,0.00787991200903,0.749087353325,0.743888922783,0.756696351942,0.287931847648,0.278680390563,0.294778661203,0.00768267347998,0.00740012287523,0.00798910983356,0.00781935504235,0.00767267591605,0.00799357444702,-0.00199132596055,-0.0518261765313,0.0389336168358,1431933
d.38001-39001,38001,0.00780247579693,0.00770472088696,0.00792578691324,0.752661846102,0.746997763786,0.759165519472,0.284112135913,0.275243172908,0.289499916839,0.00781660420225,0.00759234365848,0.0080294681351,0.00793604322423,0.00783958292248,0.00806332526945,-0.00850170530494,-0.0406356564276,0.0307908305724,1851440
d.94001-95001,94001,0.00746806453454,0.00718739042804,0.00765907147379,0.754089769607,0.745756023083,0.764562534035,0.284392296126,0.271668306757,0.29392072902,0.00749100129096,0.0070206794528,0.00788004617913,0.0076979127779,0.0075166097966,0.00786815351089,-0.0640083572531,-0.113247829807,-0.00462795095793,616799
d.22001-23001,22001,0.00769446660945,0.00756707160536,0.00780022728783,0.752210296783,0.748625141104,0.755723614624,0.289368540568,0.285186658105,0.293931931654,0.00774828800216,0.00757022930155,0.00791836044054,0.00781676704002,0.00773552049901,0.00789954649167,-0.00345430532303,-0.0378038640895,0.0269385957169,3029709
u.43001-44001,-44001,0.00779357238698,0.00762186030663,0.00801331532954,0.74695617948,0.739197714918,0.753466982337,0.288006326277,0.281323458808,0.295204164703,0.00767873467755,0.00745980286048,0.00787665643363,0.0078926139381,0.00777453191516,0.00805383559123,0.00974317020946,-0.0268958479851,0.0572872962387,1672108
d.66001-67001,66001,0.0077773164824,0.00760566824897,0.00796440042139,0.751275506731,0.743209851022,0.758017671712,0.294523827097,0.286565615694,0.302740405753,0.00786325525273,0.00755818301371,0.00818176466083,0.00789408298192,0.00775754233862,0.00803116636248,0.000185749144424,-0.0362725007252,0.0443014482729,1036111
u.9001-10001,-10001,0.00761923074612,0.00751768563323,0.00768650976245,0.753360032202,0.749752566054,0.757749605455,0.287577354699,0.283651391639,0.291891796053,0.00764705736746,0.00751456389059,0.0077787421278,0.007760252879,0.00769754859887,0.00781597208485,-0.0142198676947,-0.0375946341777,0.00765203048994,5719627
d.76001-77001,76001,0.00779467282313,0.00756956674238,0.00804322844088,0.744422799542,0.734722408926,0.750593040353,0.296616814679,0.288954857169,0.304965923362,0.00779866512504,0.00755036038003,0.00813478156306,0.00784325490944,0.00768853537349,0.00803782302729,0.0368178863096,-0.0229952400465,0.104606950091,851639
u.4001-5001,-5001,0.00760080441685,0.0075290748934,0.00768783573296,0.748040858381,0.74532235291,0.749772402952,0.288628662969,0.285135894931,0.291328605623,0.00754108253391,0.00741666138342,0.00763208643071,0.00769558909096,0.00764044726584,0.00775962916142,0.0107316344575,-0.010225132516,0.0303177092547,8724123
u.69001-70001,-70001,0.00775899684324,0.00759302680006,0.00793428980377,0.747508927296,0.741828009266,0.753796098416,0.285948337569,0.277155757616,0.293005768075,0.00758794615321,0.00736230067551,0.00785353314532,0.00786762347311,0.0077341170669,0.00800303245059,0.00438207820919,-0.0506275186847,0.0539449494393,1030104
d.3001-4001,3001,0.00755245035704,0.00748666411014,0.00760801987763,0.750920308329,0.748691977539,0.75291087105,0.288085210169,0.285722512125,0.290620963071,0.00754619707945,0.00745357794878,0.00762309633826,0.00767583062465,0.0076198065869,0.00771327201066,-0.00527795509351,-0.0181276897251,0.0158796927741,11283346
d.61001-62001,61001,0.00786597240517,0.007668645553,0.00806277393043,0.755936951655,0.749389100741,0.762196539491,0.292270735943,0.280896826622,0.303568420647,0.00797032731736,0.00774384964687,0.00833259837884,0.00800587258216,0.00788021360348,0.00816546862863,-0.0112464150967,-0.0689942057128,0.0342395580336,1161522
d.96001-97001,96001,0.0077553571471,0.00751452590336,0.00794636879799,0.754097892661,0.746105890621,0.762290502793,0.279079533048,0.264648670785,0.290668849715,0.00746141478378,0.00702374957209,0.00782379724554,0.00794079796391,0.00772055682412,0.00811900054897,-0.0362905301604,-0.109311413976,0.0272174891209,597969
d.64001-65001,64001,0.0078231586936,0.00766106284609,0.00800027115668,0.748380239936,0.742010143493,0.756343354012,0.29856480882,0.288857988615,0.30668441453,0.00795480737319,0.0076347665485,0.00825602771706,0.00790905618145,0.00778617607961,0.00803229422925,0.0169352234696,-0.0432533709684,0.0714363199463,1096299
u.60001-61001,-61001,0.00757919531412,0.00743945431279,0.00777710409029,0.758097473261,0.752415003652,0.764927882988,0.285854456439,0.278616099239,0.293448902449,0.00771660351667,0.00746728082385,0.00797752942067,0.00777803334268,0.00765155463435,0.00790744337205,-0.0457143763627,-0.0834749684824,0.00641771376638,1237113
u.21001-22001,-22001,0.00773758338927,0.00764019459942,0.00784197203998,0.748589554775,0.745184911066,0.752549273554,0.286605109168,0.281505084874,0.291178210993,0.00771296828594,0.00752200879578,0.00781906263384,0.00784038116701,0.007747497065,0.00791995955224,0.00734573378394,-0.0219868914233,0.0384342877832,3049048
d.57001-58001,57001,0.00774152736188,0.00760623148464,0.00795164762119,0.74808664217,0.741910020753,0.75408507765,0.282343353212,0.275504608986,0.291519985883,0.00754145695342,0.00728785707127,0.00784954213432,0.00780164710379,0.00768539759438,0.00795779785035,0.0303768971217,-0.0175813064468,0.0799391952781,1258820
d.23001-24001,23001,0.00771726718185,0.00759402616861,0.00786514195845,0.750617092292,0.746476020343,0.75537761366,0.290475268551,0.285159889486,0.296520536933,0.00777139146009,0.0076102822469,0.00797084668819,0.00782590825582,0.00774044492311,0.00793130679699,0.00406083864337,-0.0308312336489,0.0393447593773,2937878
u.30001-31001,-31001,0.00765064231308,0.00752170860617,0.00775690582983,0.754649887801,0.749523654372,0.759149147113,0.29085120324,0.284358520818,0.296154818499,0.0077040128834,0.00751041420358,0.00790083364295,0.00784689189662,0.00774437202234,0.00794752630164,-0.0433542941287,-0.0736354875134,-0.0159332841258,2273084
u.1001-2001,-2001,0.00757223549179,0.00751561400969,0.00763172742127,0.748384056109,0.746348052895,0.750618643006,0.289442895881,0.287388064146,0.291825926378,0.00750591159757,0.00740224117518,0.00757912040785,0.00766447044864,0.00761554934605,0.00771362996009,0.0119361260937,-0.00274521523237,0.0294392584466,13486447
u.64001-65001,-65001,0.00768160994422,0.00752395795201,0.00785336558367,0.754186164802,0.747143711096,0.76197697058,0.284705041808,0.277772274776,0.29330886844,0.00772691106669,0.00745455891971,0.00796736012747,0.00783343865774,0.0077012991163,0.00797512545483,-0.0193737180563,-0.060416187301,0.0349442416428,1131609
d.63001-64001,63001,0.00804042581136,0.00784552187709,0.00820306574696,0.74912033437,0.742068497577,0.753678330147,0.294264919186,0.286462025722,0.302266785249,0.00816390318755,0.0077971287455,0.00845680186051,0.00808052414016,0.00795275651636,0.0082121649523,0.042067240133,0.000540135569357,0.0884532630795,1108833
u.8001-9001,-9001,0.00762665147931,0.00755150652301,0.00770696405718,0.752501922016,0.749295969539,0.754583990096,0.289471478332,0.285593415047,0.292901766226,0.00767344216454,0.00754640503706,0.00780960932545,0.00775973275307,0.007695053897,0.00782471935658,-0.00986448629537,-0.0255028967904,0.0196391470082,6149897
u.17001-18001,-18001,0.0077822678448,0.00768140091744,0.00786472376693,0.751470667188,0.747974610089,0.756021656003,0.291079076705,0.284778394303,0.296745082971,0.00788280140679,0.00768415166587,0.00803406979783,0.00791090263634,0.0078108625651,0.00798131593885,-0.00607290713523,-0.0337918291844,0.0240759518339,3643507
d.93001-94001,93001,0.0074075470966,0.00719567472021,0.00759394825235,0.752957281095,0.744370687496,0.762052147596,0.277207468697,0.264770519512,0.289271809678,0.00738434877959,0.00702596394998,0.00784804354981,0.00767161491326,0.00749120271447,0.00789180986352,-0.0834492820117,-0.13821666342,-0.0125294774216,629356
u.68001-69001,-69001,0.00777188887607,0.00760762281865,0.00796368609467,0.749716204957,0.744129412941,0.755068189737,0.291570096893,0.281866441573,0.300657571622,0.00789043948184,0.00756689745544,0.00820427490695,0.00787513024857,0.00773009486043,0.00801625558322,0.00735187202278,-0.0345014815059,0.056681241238,1061239
d.55001-56001,55001,0.00786940124838,0.00771443498221,0.00806046653637,0.748375802998,0.742524688898,0.754061358502,0.289132613386,0.281559339153,0.297638018291,0.00788841850361,0.00764130939933,0.0081319311587,0.00791772904058,0.00777040009548,0.00805169340963,0.0372042232748,-0.000866335556127,0.0895890073596,1310721
u.32001-33001,-33001,0.00769681433732,0.0075648408414,0.00779158284678,0.753687750168,0.749271327286,0.759564551841,0.286647532909,0.28146995467,0.295645379184,0.00768739223716,0.00752078548233,0.00785842732913,0.00780353023341,0.00769890541735,0.00789551231975,0.00494238734517,-0.0405780448806,0.0402417915673,2162888
d.5001-6001,5001,0.00750194473915,0.0074395087094,0.00757200704214,0.751663847257,0.749655385062,0.753585345795,0.289590124447,0.285211964758,0.292564127738,0.00752377355461,0.00744185572424,0.00760973395761,0.00764157506146,0.00759571717755,0.00769443461097,-0.0146464331571,-0.0336457148637,-0.000401782173569,8732060
u.86001-87001,-87001,0.00753157774279,0.00732297603507,0.0077291185347,0.751099686908,0.741558058038,0.762058162687,0.286505320379,0.273780190972,0.29547796315,0.00748709692062,0.00721532426816,0.00788232202981,0.00771845740244,0.0075802708398,0.00786828905478,-0.0399520289892,-0.118705665079,0.0199774324171,773367
d.84001-85001,84001,0.00778372670691,0.00758938242002,0.00804194142045,0.751428682957,0.743507723996,0.762017143179,0.280635169517,0.273195488649,0.289377085702,0.00772889174929,0.00739256007727,0.00813511771942,0.00792122079829,0.00772902141255,0.00814606477213,-0.0107474397514,-0.0634907409564,0.0532920805631,738292
