,dist,sites,pi,xsi,pi2,theta_w,fwh,tajima,t1,t2,div
169,-62501,1103154.0,0.00821090208047,0.770005203565,0.246788940256,0.00925645052951,0.00780422215689,-0.474145863251,0.010271,0.145621,0.0195684365456
158,-61501,1125631.0,0.0081374802222,0.769845476054,0.253870312399,0.00918429907558,0.00782781310095,-0.478451731611,0.010289,0.146310,0.0196067782773
58,-60501,1128631.0,0.00817771824076,0.771627956147,0.24729722435,0.0092383062408,0.007799295809,-0.481911387366,0.010370,0.145258,0.0197752841123
185,-59501,1151973.0,0.00816248571615,0.768502357424,0.247677024769,0.00921847788563,0.00771155781347,-0.480855717042,0.010231,0.145699,0.0195021933387
108,-58501,1173219.0,0.00826366109867,0.769400661315,0.251446717451,0.00930885024842,0.00791415234693,-0.471316729861,0.010410,0.145649,0.0198530704174
177,-57501,1204779.0,0.008132825933,0.771492846635,0.251150999034,0.00920350270863,0.00780034901933,-0.488336984305,0.010238,0.145048,0.0195089748751
180,-56501,1220374.0,0.00833807806804,0.770946837573,0.251344144715,0.00934573344163,0.00805223841854,-0.452599105446,0.010320,0.146208,0.0196734759869
182,-55501,1215906.0,0.00820358602859,0.76917562533,0.246897358528,0.00927459806081,0.00773778980595,-0.484745782568,0.010406,0.144975,0.0198041625504
139,-54501,1257753.0,0.00809377391352,0.769731366445,0.253652004626,0.00915583822176,0.00778370545267,-0.486931630727,0.010362,0.145191,0.0197574548612
106,-53501,1289433.0,0.00809849633215,0.769206769175,0.244822061301,0.00914861425472,0.00760707225318,-0.48183527959,0.010329,0.144214,0.0196853982029
72,-52501,1317141.0,0.00813335774026,0.766971731701,0.253849363091,0.00913955862101,0.00774832325628,-0.462142352395,0.010182,0.145822,0.0194124979847
146,-51501,1334101.0,0.00807366869051,0.769441898069,0.251435687924,0.00912415115983,0.00774156207111,-0.48329564929,0.010240,0.145228,0.0195472463951
147,-50501,1356788.0,0.00814788502815,0.771064582046,0.254162574158,0.00921444231722,0.00784247887092,-0.485883627272,0.010164,0.144836,0.0194068665731
68,-49501,1382471.0,0.00804675107109,0.774900258763,0.249498281495,0.00911951425926,0.0078798820131,-0.493798161542,0.010360,0.145370,0.0197544825808
53,-48501,1418545.0,0.00813854670584,0.771237484959,0.252500347548,0.00919420167041,0.00788204053412,-0.481976647042,0.010278,0.145047,0.0196060048818
54,-47501,1460162.0,0.00808787691113,0.768039948714,0.252483395646,0.00913484387415,0.00769234969343,-0.481116592809,0.010379,0.145274,0.0197978038957
168,-46501,1565809.0,0.00812101133125,0.770906521342,0.246931208761,0.00913865785271,0.00779804835644,-0.467449171805,0.010321,0.145187,0.0196978038241
13,-45501,1516945.0,0.00816158376488,0.764750509791,0.255076977003,0.00911101765483,0.00772223955925,-0.437438531363,0.010253,0.145512,0.0195702559875
19,-44501,1548072.0,0.0081085137887,0.770747704744,0.2496691765,0.00911700179519,0.00778786458892,-0.464342351059,0.010179,0.145330,0.0194248070691
115,-43501,1577325.0,0.00805797623725,0.771374509636,0.250998339987,0.00909195131645,0.00778204787846,-0.477389509816,0.010337,0.144255,0.0197353120276
104,-42501,1587852.0,0.00816195649681,0.769396519472,0.251644019784,0.00916285885167,0.00779694006335,-0.458543863256,0.010286,0.145043,0.0196208472074
99,-41501,1648249.0,0.00804304255128,0.770027078139,0.251322219466,0.00902701553562,0.00770312055112,-0.457572132688,0.010312,0.144974,0.019654797206
51,-40501,1686419.0,0.00790387329914,0.771403360229,0.253064388274,0.00892214909142,0.00769345632485,-0.47908958251,0.010336,0.144503,0.0197477613843
123,-39501,1730949.0,0.00805881629095,0.771313599386,0.253356401705,0.00909174341195,0.00779829009709,-0.476918404228,0.010264,0.143458,0.0195984971689
14,-38501,1770957.0,0.00806933022208,0.769101138884,0.251763894364,0.00908689475694,0.00772625469197,-0.470076363727,0.010295,0.145565,0.0196503932941
71,-37501,1804924.0,0.00801081404331,0.768961666877,0.249390828086,0.00902176904672,0.00761376045167,-0.47039453599,0.010317,0.145223,0.0196922417775
62,-36501,1865549.0,0.00798979704888,0.770678142818,0.252634846596,0.00899934433202,0.00770480353488,-0.470910573289,0.010435,0.145595,0.0199083497083
4,-35501,1908472.0,0.00793837880996,0.771600797877,0.248504078499,0.00896235930341,0.00758516072301,-0.479614468359,0.010337,0.144417,0.0197351599185
109,-34501,1973339.0,0.00803129806091,0.770289243496,0.248841245234,0.00904827423489,0.00771996551813,-0.471811617714,0.010253,0.144431,0.0195465643496
129,-33501,2023820.0,0.00796393896066,0.769546104327,0.251630965076,0.00898232890037,0.0076165062026,-0.475936511578,0.010318,0.144577,0.0196939426471
88,-32501,2082457.0,0.00811370263209,0.770029638599,0.253932497148,0.00911002446802,0.00785159747215,-0.459097155238,0.010302,0.145588,0.0196263351243
110,-31501,2140967.0,0.00804081077677,0.769610308754,0.251863960798,0.00901509536085,0.00772639173184,-0.4536701922,0.010321,0.145000,0.0196929690897
