,dist,sites,pi,xsi,pi2,theta_w,fwh,tajima,t1,t2,div
6,-3451,1178423.0,0.00832327342737,0.771300023114,0.249249536394,0.0093909256945,0.0080192832898,-0.477238809495,0.011019,0.152603,0.0209610658244
45,-3351,1240685.0,0.00829673675599,0.772585307723,0.245347672051,0.0094401448477,0.00790100727989,-0.508438325322,0.011070,0.152212,0.0211125294261
30,-3251,1304170.0,0.00827662118637,0.76796479503,0.249363742711,0.00934371060386,0.0078085994183,-0.479399974028,0.011003,0.151860,0.0209604558025
92,-3151,1372042.0,0.00836189301862,0.770039878286,0.252019672078,0.00941625231429,0.00806447415473,-0.470033026573,0.011095,0.151887,0.02111961428
33,-3051,1447074.0,0.0083470033868,0.765438646426,0.256923675939,0.00942958543118,0.00799203872555,-0.48193355113,0.011077,0.151579,0.0210756330554
8,-2951,1521063.0,0.00834689465958,0.76965396763,0.250076693658,0.00943547704801,0.00797608459333,-0.484303220852,0.010968,0.151520,0.0208873679302
86,-2851,1608175.0,0.00830055644965,0.771550540158,0.247811800228,0.00938429019634,0.00799366680538,-0.48477699902,0.011029,0.151261,0.0209933632123
44,-2751,1698776.0,0.00830236469949,0.772834086484,0.254531639752,0.00940314248111,0.00811870533756,-0.491415062808,0.010951,0.151290,0.0208461847736
18,-2651,1794386.0,0.0082758084029,0.773159353176,0.250407016237,0.00934964901396,0.00803491077628,-0.482133325788,0.011014,0.151652,0.0209921401744
7,-2551,1898503.0,0.00827407588755,0.768082062773,0.252985854836,0.00939202612488,0.00791071240113,-0.499674017022,0.010971,0.151910,0.0209280691092
58,-2451,2006247.0,0.0082729043202,0.768911930504,0.251468347825,0.00935885783366,0.00790530889661,-0.48709394756,0.010930,0.151465,0.0208219615227
56,-2351,2122364.0,0.00822159183171,0.770929659736,0.251923863379,0.00932599969264,0.00795592201258,-0.497117646478,0.010979,0.151460,0.0208828446463
100,-2251,2252211.0,0.00826413174478,0.770295869227,0.252025329489,0.0093557676575,0.00796354767125,-0.489806226326,0.011071,0.151309,0.0210921624506
36,-2151,2395002.0,0.00821591007132,0.771192801796,0.248618402394,0.00928803729403,0.00782596883536,-0.484561565464,0.010947,0.151735,0.0208717973075
