label,mid,pi,xsi,pi2,fwh,theta_W,tajima,sites
real,1.86148700375,0.00678237875411,0.754007745084,0.247138096423,0.00676231164739,0.007086293473,-0.13876873635,1536618
real,465.988061244,0.00766838012379,0.75361919629,0.250159608197,0.00769252244132,0.00769905639768,-0.0128927342677,4239575
real,-1.63918195626,0.00681806818987,0.745624715676,0.248035666804,0.00659625795234,0.00702200996694,-0.093972862991,1487422
real,3.28749868648,0.00693763964048,0.74636928911,0.251517932541,0.00678562663735,0.00714465356913,-0.0937529202798,1993195
real,207.008620277,0.00761975948751,0.749238080466,0.253131849594,0.00757458793586,0.00763395409923,-0.00601664511382,4489182
real,-698.709869925,0.00776467948007,0.745664777272,0.256174103651,0.00768420085985,0.00769387646975,0.0297772200616,3480651
real,-547.972597381,0.00770745610013,0.74776358905,0.252721314274,0.00761150564154,0.00770337205634,0.00171549489706,4232735
real,-12.3020391661,0.00715442972543,0.752559311906,0.254782086247,0.00720149958909,0.00728883698857,-0.0596674155152,2652405
real,1.24504186712,0.00641748332888,0.764588094796,0.240753864602,0.00648288066437,0.0069227336861,-0.236147214342,1348708
real,-26.5435695254,0.00721041294693,0.749873956843,0.249498039099,0.00711016647667,0.0073201686534,-0.0485156289824,3163736
real,-2.36385034906,0.00675397155336,0.755235603446,0.249558356711,0.00680202999644,0.00703971415447,-0.131335512451,1720811
real,-0.27458068629,0.00610861529791,0.761212297575,0.227817176697,0.00585742257185,0.00669640718119,-0.283994859949,827040
real,2.64719606905,0.00672577751698,0.754187561059,0.247813638117,0.00669992112152,0.00703459205971,-0.142043479745,1738862
real,15.9545222094,0.00716347632429,0.75233728115,0.253053091949,0.0072102588127,0.00731359789652,-0.0664177701559,2576212
real,-9.4364041517,0.00707358995791,0.752049180234,0.249160535043,0.00703932757845,0.00726326246256,-0.084497585276,2509719
real,3.64864566872,0.00683887468047,0.755481332062,0.247518506093,0.00683257603727,0.00713018766863,-0.132198832869,2211372
real,137.825456779,0.00751803740024,0.751449859355,0.250495645601,0.00747423417389,0.00756113815622,-0.0184449647932,4397097
real,9.4364041517,0.00708483044772,0.753755516261,0.246268418272,0.00703880004854,0.00728210542765,-0.0876569819825,2478253
real,336.921636702,0.0076513214594,0.756955843406,0.252429754798,0.00781187940194,0.00771067974978,-0.0249097374232,4448244
real,-7.18810787262,0.00693145867404,0.761064357875,0.247252666429,0.00707518781868,0.00720886307974,-0.124513752109,2411009
